X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Y
0.028752,0.086186,0.31983,4.7109,10.838,0.15567,0.036597,9.5073,1.0012,0.8194,0.036597,0.42462,0.16642,0.036597,295.08,1.2369,11.603,0.036597,0.05713,42.859,0.98815,-0.002853,0.044884,0.19494,0.8194,1.1459,-0.044597,0.53845,5.0396,0.1328,0.05713,49.168,7.4236,-0.033107,-0.002853,0.73197,173.45369449941683,0.8194,-0.004454,2.6521,0.042192,-0.004454,101.11,58.246,0.38225,3.8382,42.911,-0.072865,-0.11375,4.7109,0.086186,0.13471,1.3795,1.3795,35038.0,0.001204,0.035089,0.9988,0.0,8.5163,6.2665,49.108,7.4325,1.0785,0.0
-0.073979,1.3771,-0.38019,0.72392,55089.0,-0.37814,-0.073979,-0.27384,6.139,-0.3771,-0.03871,-0.053721,-0.011007,-0.073979,-7438.8,-0.049067,0.72616,-0.073979,-0.012051,26.176,0.82285,-0.053545,-0.012051,-0.19184,-0.42962,-0.049067,-1.5182,-123.03,2.9787,0.22428,-0.006306,81.239,4.5471,4.5471,-0.048179,6.139,173.45369449941683,-0.3771,-0.007848,0.048189,-0.97385,-0.008722,55.326,29.15,-0.16803,0.40422,25.663,-0.059955,-0.009766,0.72392,1.3771,0.21992,-122.03,-122.03,-361.96,-0.007848,0.19618,1.0257,0.0,13.944,12.521,81.876,4.4579,1986.6,0.0
0.058872,0.82921,0.010334,1.0165,-41.71,0.0,0.079068,0.20597,2.2172,0.17079,0.11243,0.12598,0.057796,0.079068,2361.8,0.15454,1.206,0.079068,0.035661,39.429,1.4235,0.10907,0.026552,0.11515,0.16604,0.13018,3.2697,0.028544,4.0222,0.35326,0.050705,108.46,3.3652,2.5471,0.10518,2.2172,3.1659,0.29664,0.04744,0.08888,0.17477,0.049192,95.836,56.407,0.2458,0.63484,41.393,0.059993,0.027058,0.76934,0.62761,0.29716,0.47173,0.81933,108.77,0.04744,0.3447,0.96449,0.73686,9.2572,6.4709,103.32,3.5328,6.124,0.0
-0.091442,0.7055,-0.047216,0.92568,-7.2952,0.0,-0.090374,0.41744,9.1345,0.2945,-0.067633,-0.14226,-0.003698,-0.090374,-7623.1,-0.047881,1.4174,-0.090374,-0.009894,5.0073,1.0377,-0.076312,-0.010011,-0.038146,0.28849,-0.049393,-3.3557,-0.11465,3.9236,0.076222,-0.008309,25.409,14.588,13.136,0.008914,9.1999,20.253,0.31735,0.000976,0.036787,-1.1927,-0.008354,22.564,17.557,-0.72971,0.23405,4.9354,-0.13291,-0.01455,0.83353,0.63527,0.068548,0.71511,0.77059,-396.0,0.000966,-0.31049,1.0074,0.077583,72.893,20.79,25.384,14.379,22.18,1.0
0.005542,0.79292,0.1328,1.2762,-8.8959,-0.028693,0.014522,0.26117,3.2681,0.20708,0.3543931986262164,0.030209,0.004444,0.014522,19929.0,0.018315,1.2612,0.014522,0.004444,20.263,10.36751572321924,0.022015,0.001696,0.014522,0.003016,0.006989,0.53205,0.3436,4.9455,0.24066,0.013646,65.148,6.8259,4.1382,0.01527,3.3299,1.711,0.45961,0.004673,0.080818,1.2005,0.006736,64.181,43.918,0.030546,0.45824,20.182,0.022015,0.006736,0.77373,0.48071,0.1465,0.53581,1.1892,11714.0,0.17591,0.026762,0.81735,1.2195,18.013,8.311,53.688,6.7985,8.4561,1.0
0.004248,0.17758,0.30679,2.728,46.695,0.012676,0.005933,4.6204,0.99468,0.82051,0.005933,0.03342,0.048501,0.005933,590.33,0.6183,5.6311,0.005933,0.002621,3.4792,1.164,-0.013018,0.001877,0.016765,0.82051,0.60881,-0.057198,0.59493,5.7505,0.073619,0.002621,28.472,12.819,-0.073308,-0.013018,2.2915,11176.0,0.82055,-0.00575,0.081019,0.064265,-0.00575,75.768,72.288,0.19687,2.6064,3.4607,-0.11689,-0.05163,2.7273,0.17754,0.078006,1.5912,1.5912,172710.0,-0.005348,0.005178,1.0053,5e-05,104.91,5.0492,28.625,12.751,4.3902,0.0
0.33732,0.2999,0.42624,2.7242,32.354,0.33732,0.36555,0.69741,1.1149,0.20915,0.36555,1.4787,0.22051,0.36555,283.04,1.2896,3.3345,0.36555,0.20843,58.536,10.36751572321924,0.18428,0.19233,0.36555,0.20915,1.1954,1.1714,1.3052,4.75,0.056267,0.20843,57.356,6.3638,0.61449,0.18428,1.9567,7.4426,0.26185,0.10507,0.83616,0.047986,0.10507,97.135,38.599,1.1993,1.5864,65.26,0.1631,0.092995,2.2456,0.2472,0.15714,0.64048,0.80184,23968.0,0.10302,1.6128,0.89698,0.25194,6.2355,9.4562,51.447,7.0947,5.3707,0.0
0.024979,0.31351,0.26254,3.0388,35.174,-0.011854,0.024979,2.1897,0.77928,0.68649,0.026605,0.19398,0.093996,0.024979,1562.2,0.23364,3.1897,0.024979,0.032054,98.93,10.36751572321924,0.0,0.032054,0.024979,0.18868,0.23364,0.0,0.43133,3.7801,0.35392,0.067095,83.419,4.3755,1.7972,0.000264,0.77928,0.97489,0.87123,0.000339,0.30056,0.2165,0.0,165.16,66.227,0.11826,1.3986,136.83,-0.04827,-0.061942,1.2482,0.12877,0.22855,1.1278,1.4313,1582.2,0.27696,0.036387,0.72514,0.26911,3.6895,5.5113,60.315,6.0515,1.2803,0.0
0.011609,0.83213,-0.20515,0.68303,-94.095,0.0,0.04039,0.20174,1.5487,0.16787,0.070677,0.062404,0.076766,0.04039,2554.7,0.14287,1.2017,0.04039,0.026079,35.024,1.0134,0.07065,0.007496,0.065897,0.11943,0.10829,2.3326,-0.3677,3.7127,0.53428,0.045447,159.73,2.2851,1.7774,0.069725,1.5487,1.5871,0.35278,0.045021,0.026238,0.18597,0.045619,100.19,65.162,0.078119,0.45343,36.675,-0.007849,-0.005068,0.53126,0.64722,0.43761,0.30089,0.6323,-1058.7,0.045021,0.069153,0.97396,1.1014,10.422,5.6014,152.54,2.3929,2.7758,0.0
0.038241,0.31262,0.28421,1.9612,16.151,0.038241,0.048285,2.1278,1.0183,0.66519,0.048285,0.1633,0.049384,0.048285,989.65,0.36882,3.1987,0.048285,0.020681,28.205,0.97364,0.049024,0.016379,0.048285,0.66519,0.33669,1321.9890348527397,0.67651,4.075,0.12369,0.020681,47.07,7.7544,0.15681,0.049024,2.3665,23.582,0.68213,0.020997,0.093892,0.088573,0.020997,86.315,58.11,0.21196,1.351,28.721,-0.017993,-0.007707,1.8549,0.29569,0.12896,1.5834,1.6237,3378.0,0.017958,0.057488,0.98204,0.025466,12.941,6.2812,46.225,7.8962,5.5576,1.0
0.31418,0.4613,0.57091,2.8324,51.545,0.62549,0.414,1.0595,1.2341,0.48875,0.414,1.3288,0.15267,0.414,386.99,0.94317,2.1678,0.414,0.14527,30.794,1.5996,0.4369,0.11024,0.79949,0.48875,0.72678,1.892,4.8576,3.692,0.065558,0.14527,49.246,7.4118,0.94711,0.4369,2.8786,4.2876,0.63849,0.15331,0.89008,0.033115,0.15331,77.506,46.711,1.3067,2.0607,38.004,0.41582,0.14591,1.913,0.31156,0.13492,4.1586,5.4327,2809.1,0.1897,0.64282,0.8103,0.30637,11.853,7.814,39.904,9.147,24.249,0.0
